Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temp,Wind Speed
1,US,1605693625,44,57.79,-152.41,37.4,14.99
0,US,1605693622,72,42.6,-73.97,26.01,3.0
100,RU,1605693625,94,64.38,-173.3,34.12,8.21
100,RU,1605693626,88,71.69,128.87,-1.17,30.11
75,AR,1605693607,70,-54.8,-68.3,48.2,8.05
22,MX,1605693518,71,22.89,-109.91,69.01,4.29
0,AR,1605693626,81,-51.62,-69.22,46.4,12.75
100,ZA,1605693626,88,-33.59,26.89,66.67,13.22
75,TO,1605693627,94,-21.2,-175.2,73.4,5.82
0,RU,1605693627,95,65.85,74.49,9.73,11.97
40,BR,1605693621,78,-20.33,-40.29,78.8,8.05
0,GL,1605693628,48,65.61,-37.64,19.4,4.7
93,CA,1605693628,94,69.45,-133.04,0.48,5.68
90,RE,1605693629,61,-21.36,55.77,78.8,17.22
90,BR,1605693629,94,-21.64,-41.05,73.4,8.05
1,US,1605693629,73,19.73,-155.09,71.6,5.82
90,BR,1605693608,100,-22.97,-42.03,71.6,3.36
100,AU,1605693629,48,-35.12,139.27,72.0,7.36
1,RU,1605693630,89,48.98,131.55,11.91,3.91
90,CA,1605693630,92,70.47,-68.59,17.6,26.4
100,AU,1605693630,73,-24.87,113.63,75.2,20.8
20,ZA,1605693518,60,-33.93,18.42,72.0,21.92
40,CL,1605693346,81,-53.15,-70.92,48.2,24.16
40,CN,1605693631,61,25.28,110.29,80.6,11.18
27,NG,1605693631,21,10.37,10.73,87.58,9.98
90,US,1605693631,96,42.1,-79.24,26.01,9.17
21,PE,1605693632,89,-13.7,-76.22,59.99,1.21
74,NZ,1605693632,79,-46.19,168.86,51.01,4.0
74,TL,1605693632,100,-8.93,125.41,65.19,3.24
97,GL,1605693634,84,65.42,-52.9,34.25,23.42
100,GL,1605693635,89,77.48,-69.36,25.09,12.28
1,ZA,1605693635,47,-33.01,17.94,75.2,18.34
90,RU,1605693635,93,59.7,30.79,35.6,13.42
100,CA,1605693604,92,54.72,-113.29,21.2,5.59
0,FR,1605693635,100,48.08,1.33,48.2,5.82
0,PK,1605693635,21,32.97,71.56,72.01,3.13
40,US,1605693636,58,41.37,-73.41,28.99,4.7
2,PF,1605693636,77,-9.8,-139.03,77.95,16.46
76,NG,1605693636,23,7.74,8.51,90.54,5.35
90,US,1605693636,79,44.9,-89.77,26.6,4.7
53,MX,1605693636,77,27.98,-114.06,65.8,11.48
43,RU,1605693636,83,46.54,138.33,31.51,4.61
44,NZ,1605693637,79,-46.6,168.33,51.01,4.0
75,NO,1605693637,86,69.65,18.96,41.0,21.92
100,GL,1605693637,40,60.92,-46.05,37.4,23.04
68,PF,1605693637,80,-23.12,-134.97,75.11,12.33
23,CA,1605693638,87,51.23,-58.65,29.52,10.16
90,CL,1605693560,100,-39.81,-73.25,46.4,0.69
75,MU,1605693405,61,-20.41,57.7,78.8,12.75
79,GB,1605693638,86,54.28,-0.4,54.0,8.99
86,RO,1605693639,97,46.43,26.4,43.0,2.98
90,CA,1605693639,93,50.7,-127.42,46.4,2.24
100,GL,1605693360,36,69.22,-51.1,30.2,23.04
50,RU,1605693640,90,65.44,52.15,22.08,11.45
90,UZ,1605693641,86,40.43,71.72,33.8,6.93
78,RU,1605693641,88,50.68,156.12,30.88,29.75
90,CN,1605693641,87,40.22,116.22,50.0,13.42
0,RU,1605693641,58,48.63,44.04,24.8,15.66
100,RU,1605693642,93,57.03,34.17,27.28,15.57
57,ZA,1605693642,82,-34.53,20.04,62.6,11.41
0,PF,1605693642,80,-16.48,-151.75,79.47,10.96
98,BR,1605693642,82,3.08,-59.95,75.52,9.6
88,CD,1605693642,59,-6.47,16.82,86.4,1.72
20,JP,1605693643,88,35.13,140.3,69.01,4.7
75,PT,1605693643,58,38.52,-28.7,57.2,5.82
72,RU,1605693643,79,46.63,37.8,40.08,21.09
