,Cloudiness,Humidity,Latitude,Longitude,Temperature,Windspeed,Country,Date
0,100,91,-0.13,-67.09,76.1,2.21,BR,1605699272
1,20,88,35.13,140.3,66.0,9.17,JP,1605699272
2,75,69,-20.41,57.7,77.0,11.41,MU,1605699272
3,40,80,-33.65,115.33,58.42,8.12,AU,1605699273
4,1,83,21.35,-158.09,77.0,10.42,US,1605698990
5,100,92,72.79,-56.15,29.1,6.62,GL,1605699273
6,8,71,-9.66,120.26,83.52,9.35,ID,1605699273
7,72,93,71.92,114.08,4.96,11.7,RU,1605699273
8,83,68,41.76,86.15,38.86,9.1,CN,1605699273
9,75,85,71.29,-156.79,17.6,11.41,US,1605699273
10,100,94,-21.21,-159.78,75.2,12.75,CK,1605699274
11,90,93,40.6,-124.16,54.0,12.75,US,1605699187
12,100,81,-10.45,161.92,80.67,6.76,SB,1605699274
13,36,77,35.7,138.45,62.01,1.03,JP,1605699274
14,20,71,-53.15,-70.92,51.8,25.28,CL,1605699030
15,75,93,60.0,17.75,54.0,12.75,SE,1605699171
16,74,81,-46.19,168.86,51.01,4.0,NZ,1605699274
17,92,52,-42.78,147.06,62.01,3.0,AU,1605698983
18,100,84,-3.8,102.27,79.84,5.14,ID,1605699275
19,72,82,-23.12,-134.97,74.89,10.76,PF,1605699275
20,92,81,4.14,96.13,80.29,2.44,ID,1605699275
21,24,77,21.46,-71.14,80.69,13.2,TC,1605699275
22,0,94,65.61,72.68,13.59,12.68,RU,1605699275
23,20,94,-21.2,-175.2,71.6,4.7,TO,1605699275
24,90,95,64.56,39.83,32.0,11.18,RU,1605699243
25,77,22,-20.15,28.58,87.04,5.14,ZW,1605699276
26,8,59,-22.96,14.51,66.2,8.05,NA,1605699197
27,97,81,-33.59,26.89,68.02,15.3,ZA,1605699276
28,90,64,19.73,-155.09,73.4,6.93,US,1605699162
29,62,81,-46.6,168.33,51.01,4.0,NZ,1605699276
30,100,71,-38.27,141.97,61.43,6.67,AU,1605699277
31,0,24,27.04,14.43,73.02,0.87,LY,1605699277
32,40,93,35.73,140.83,60.01,3.36,JP,1605699149
33,75,77,-34.53,20.04,66.2,11.41,ZA,1605699203
34,98,48,-23.53,148.17,84.2,18.34,AU,1605699277
35,0,93,66.83,70.83,16.63,19.51,RU,1605699277
36,33,70,-34.42,19.23,69.01,5.01,ZA,1605699277
37,100,90,66.77,123.37,-5.66,17.36,RU,1605699076
38,90,93,38.42,-121.42,55.99,5.82,US,1605699163
39,90,100,50.7,-127.42,44.6,3.36,CA,1605699278
40,90,73,42.25,-75.83,23.0,12.75,US,1605699278
41,20,56,-33.93,18.42,73.99,25.28,ZA,1605699215
42,60,88,-21.04,-57.87,75.2,9.55,PY,1605699278
43,99,93,53.94,139.92,10.02,13.89,RU,1605699278
44,2,78,-9.8,-139.03,77.52,17.43,PF,1605699279
45,41,53,40.16,-8.33,75.99,3.6,PT,1605699136
46,100,83,-24.87,113.63,71.6,20.8,AU,1605699279
47,90,57,-21.36,55.77,78.8,16.11,RE,1605699279
48,40,73,-17.82,25.15,77.0,12.75,BW,1605699279
49,22,75,50.33,7.22,57.99,1.01,DE,1605699279
50,100,94,-34.0,24.73,63.0,8.01,ZA,1605699279
51,39,74,3.07,172.79,81.93,18.03,KI,1605699279
52,20,73,32.67,-17.1,71.6,16.11,PT,1605699279
53,99,40,-37.05,142.77,61.74,2.53,AU,1605699280
54,87,97,46.43,26.4,43.0,3.4,RO,1605699280
55,88,91,-0.74,-90.35,69.01,3.0,EC,1605699280
56,44,77,-33.87,121.9,64.4,9.17,AU,1605699280
57,40,83,13.59,-89.83,71.6,16.11,SV,1605699235
58,0,89,64.89,-23.71,29.21,9.08,IS,1605699281
59,90,96,42.1,-79.24,26.01,5.82,US,1605699210
60,20,83,5.84,118.12,82.4,4.7,MY,1605699072
61,98,65,-10.41,-36.43,84.25,12.55,BR,1605699281
62,90,92,63.75,-68.51,28.4,6.93,CA,1605699281
63,100,95,62.59,40.61,27.32,17.43,RU,1605699281
64,100,39,-35.12,139.27,70.0,1.14,AU,1605699281
65,20,88,33.95,130.95,66.2,8.05,JP,1605699281
66,93,89,-46.28,169.85,50.0,10.0,NZ,1605699282
67,95,75,6.23,120.56,84.58,4.52,PH,1605699282
68,0,47,51.32,42.77,28.0,1.01,RU,1605699282
69,90,93,64.3,41.92,32.0,11.18,RU,1605699165
70,100,98,65.7,82.47,26.4,10.29,RU,1605699282
71,0,86,63.83,20.26,39.2,6.93,SE,1605699203
72,0,31,14.92,-23.51,87.8,17.22,CV,1605699283
73,100,89,8.0,124.29,80.01,5.99,PH,1605699283
74,0,23,-23.72,44.38,94.12,16.67,MG,1605699283
75,0,66,-51.62,-69.22,53.6,20.8,AR,1605699283
76,46,83,22.29,114.16,73.99,10.0,HK,1605699283
77,40,100,5.41,100.34,82.0,11.41,MY,1605699283
78,90,59,37.94,22.96,66.0,9.17,GR,1605699283
79,100,89,77.48,-69.36,25.39,14.43,GL,1605699284
80,100,74,62.23,-6.59,35.6,19.46,FO,1605699284
81,84,93,69.45,-133.04,-0.08,5.21,CA,1605699284
82,100,89,71.69,128.87,-1.5,30.38,RU,1605699284
83,5,67,65.61,-37.64,19.4,11.41,GL,1605699284
84,19,13,20.2,1.01,86.34,13.98,ML,1605699284
85,0,76,42.25,-2.5,53.6,2.24,ES,1605699285
86,90,77,-12.12,-77.05,64.4,4.7,PE,1605699285
87,99,92,50.7,103.47,16.66,4.38,RU,1605699285
88,52,90,70.63,147.92,-12.82,10.87,RU,1605699285
89,100,95,-24.79,-50.01,59.14,6.42,BR,1605699092
90,36,96,59.65,67.41,16.29,6.22,RU,1605699285
91,0,53,42.6,-73.97,23.0,3.0,US,1605699285
92,30,74,-35.17,173.17,59.34,12.37,NZ,1605699286
93,5,73,22.89,-109.91,69.8,2.73,MX,1605699214
94,55,58,16.86,-99.89,76.98,4.56,MX,1605699013
95,0,69,30.01,120.57,79.0,4.47,CN,1605699286
96,2,53,28.23,83.98,60.87,2.42,NP,1605699286
97,75,72,65.28,-126.83,15.8,8.05,CA,1605699286
98,91,96,69.7,170.31,10.15,2.21,RU,1605699286
99,92,51,4.12,43.89,82.58,13.51,SO,1605699286
100,40,94,24.8,125.28,77.0,6.93,JP,1605699287
101,0,35,-25.17,45.05,88.66,15.05,MG,1605699287
102,75,30,37.1,-113.58,57.0,6.93,US,1605698998
103,75,69,-20.34,57.76,78.01,11.41,MU,1605699287
104,100,84,17.67,-96.13,68.52,3.31,MX,1605699287
105,90,93,44.82,26.48,50.0,17.22,RO,1605699287
106,90,92,39.45,-84.57,32.0,1.19,US,1605699183
107,15,15,18.44,1.41,86.13,15.23,ML,1605699288
108,3,75,-22.67,167.48,72.66,15.66,NC,1605699288
109,0,68,-33.01,17.94,75.2,17.22,ZA,1605699288
110,77,78,-0.6,73.08,82.56,14.32,MV,1605699288
111,40,55,41.28,-70.1,35.6,20.8,US,1605699278
112,60,82,42.03,-8.16,64.0,7.0,PT,1605699288
113,0,71,-54.8,-68.3,50.0,4.7,AR,1605699084
114,100,92,53.09,21.58,52.0,1.01,PL,1605699289
115,15,84,-35.62,174.5,55.99,5.01,NZ,1605699289
116,30,89,69.38,178.42,21.83,1.7,RU,1605699289
117,90,79,52.59,34.28,24.8,13.42,RU,1605699289
118,90,83,-9.44,147.18,82.4,4.7,PG,1605699289
119,6,77,-34.58,150.86,64.99,10.45,AU,1605699289
120,100,91,60.9,131.96,-1.01,3.69,RU,1605699290
121,98,82,-2.65,10.0,78.87,9.91,GA,1605699290
122,75,39,69.22,-51.1,30.2,19.46,GL,1605699290
123,90,87,45.52,-122.68,48.2,12.75,US,1605698829
124,0,72,66.04,-17.34,17.6,3.36,IS,1605699290
125,0,25,18.09,-15.98,86.0,18.34,MR,1605699290
126,90,93,44.6,25.85,50.0,17.22,RO,1605699290
127,96,93,53.96,105.88,16.79,5.48,RU,1605699291
128,20,74,1.05,101.28,86.0,2.89,ID,1605699291
129,18,58,-14.27,50.17,80.35,14.83,MG,1605699291
130,90,83,67.8,130.41,-2.25,3.69,RU,1605699291
131,47,24,10.61,12.19,86.83,6.98,NG,1605699291
132,0,46,37.47,-4.44,73.99,1.01,ES,1605699291
133,20,62,78.22,15.64,19.4,16.11,SJ,1605699292
134,0,82,61.68,64.48,20.12,7.47,RU,1605699292
